cohort_week,week,ltv_predicted,ltv_actual
2023-05-29,1,0.07221925477619281,0.10341653666146647
2023-05-29,2,0.11446481065029289,
2023-05-29,3,0.14443850955238563,
2023-05-29,4,0.16768791665667043,
2023-05-29,5,0.1866840654264857,
2023-05-29,6,0.202745080363277,
2023-05-29,7,0.21665776432857844,
2023-05-29,8,0.22892962130058578,
2023-05-29,9,0.23990717143286328,
2023-05-29,10,0.2498375734471841,
2023-05-29,11,0.25890332020267853,
2023-05-29,12,0.26724299878837465,
2023-05-29,13,0.27496433513946983,
2023-05-29,14,0.2821527273069633,
2023-05-29,15,0.28887701910477126,
2023-05-29,16,0.29519352032047924,
2023-05-29,17,0.30114887607677854,
2023-05-29,18,0.3067821593641815,
2023-05-29,19,0.31212642620905606,
2023-05-29,20,0.3172098910135699,
2023-05-29,21,0.32205682822337695,
2023-05-29,22,0.32668827340037454,
2023-05-29,23,0.3311225749788713,
2023-05-29,24,0.33537583331334087,
2023-05-29,25,0.3394622535645675,
2023-05-29,26,0.3433944319508786,
2023-05-29,27,0.34718358991566267,
2023-05-29,28,0.35083976718502086,
2023-05-29,29,0.3543719820831561,
2023-05-29,30,0.3577883655511042,
2023-05-29,31,0.3610962738809641,
2023-05-29,32,0.36430238409747695,
2023-05-29,33,0.3674127750966721,
2023-05-29,34,0.3704329970199474,
2023-05-29,35,0.3733681308529714,
2023-05-29,36,0.37622283985705224,
2023-05-29,37,0.37900141414037436,
2023-05-29,38,0.3817078094386675,
2023-05-29,39,0.38434568098524885,
2023-05-29,40,0.38691841319821596,
2023-05-29,41,0.38942914578976273,
2023-05-29,42,0.3918807968029062,
2023-05-29,43,0.3942760829995697,
2023-05-29,44,0.3966175379572561,
2023-05-29,45,0.3989075281765674,
2023-05-29,46,0.4011482674563076,
2023-05-29,47,0.40334182975506416,
2023-05-29,48,0.405490160726554,
2023-05-29,49,0.4075950880895337,
2023-05-29,50,0.40965833097077214,
2023-05-29,51,0.41168150834076034,
2023-05-29,52,0.4136661466458659,
2023-06-05,1,0.06282391761832466,0.0899626006904488
2023-06-05,2,0.09957355357343976,
2023-06-05,3,0.12564783523664932,
2023-06-05,4,0.14587261934887719,
2023-06-05,5,0.16239747119176443,
2023-06-05,6,0.17636903434874518,
2023-06-05,7,0.18847175285497397,
2023-06-05,8,0.19914710714687953,
2023-06-05,9,0.20869653696720186,
2023-06-05,10,0.21733504701549713,
2023-06-05,11,0.2252213888100891,
2023-06-05,12,0.2324761200040725,
2023-06-05,13,0.23919295196706983,
2023-06-05,14,0.24544617292231694,
2023-06-05,15,0.25129567047329865,
2023-06-05,16,0.2567904288066746,
2023-06-05,17,0.2619710247652042,
2023-06-05,18,0.2668714481531946,
2023-06-05,19,0.27152045458552654,
2023-06-05,20,0.27594258792218496,
2023-06-05,21,0.2801589646338218,
2023-06-05,22,0.28418788366871334,
2023-06-05,23,0.28804530642841375,
2023-06-05,24,0.29174523869775437,
2023-06-05,25,0.2953000376223972,
2023-06-05,26,0.29872066072031933,
2023-06-05,27,0.3020168695853945,
2023-06-05,28,0.30519739782928146,
2023-06-05,29,0.30827009054064164,
2023-06-05,30,0.3112420208687531,
2023-06-05,31,0.3141195880916233,
2023-06-05,32,0.31690860058893683,
2023-06-05,33,0.3196143464249993,
2023-06-05,34,0.32224165369762237,
2023-06-05,35,0.32479494238352885,
2023-06-05,36,0.3272782690787773,
2023-06-05,37,0.3296953657715192,
2023-06-05,38,0.33204967357751225,
2023-06-05,39,0.33434437220385116,
2023-06-05,40,0.33658240577401666,
2023-06-05,41,0.3387665055405096,
2023-06-05,42,0.3408992099246233,
2023-06-05,43,0.3429828822521464,
2023-06-05,44,0.34501972649575674,
2023-06-05,45,0.347011801287038,
2023-06-05,46,0.3489610324214605,
2023-06-05,47,0.3508692240467385,
2023-06-05,48,0.35273806869749036,
2023-06-05,49,0.35456915631607905,
2023-06-05,50,0.35636398238011435,
2023-06-05,51,0.3581239552407219,
2023-06-05,52,0.3598504027617952,
